theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-06-30,22.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-06-23,31.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-06-23,17.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-06-16,24.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-06-16,19.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-06-09,29.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-06-09,16.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-06-02,32.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-06-02,21.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-05-26,33.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-05-26,18.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-05-19,32.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-05-19,19.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-05-12,25.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-05-12,11.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-05-05,26.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-05-05,12.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-04-28,26.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-04-28,14.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-04-21,19.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-04-21,13.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-04-14,33.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-04-14,19.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-04-07,26.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-04-07,12.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-03-31,24.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-03-31,10.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-03-24,14.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-03-24,6.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-03-17,16.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-03-17,10.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-03-10,13.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-03-10,8.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-03-03,16.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-03-03,6.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-02-24,19.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-02-24,4.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-02-17,16.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-02-17,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-02-10,17.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-02-10,3.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-02-03,17.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-02-03,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-01-27,14.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-01-27,2.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-01-20,24.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-01-20,4.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-01-13,22.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-01-13,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-01-06,19.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2025,2025-01-06,2.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-12-30,22.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-12-30,4.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-12-23,16.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-12-23,4.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-12-16,22.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-12-16,2.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-12-09,26.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-12-09,4.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-12-02,33.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-12-02,3.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-11-25,29.0000,False
infectious_disease,vaccine_preventable,Measles,UKHSA Region,London,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-11-25,5.0000,False
infectious_disease,vaccine_preventable,Measles,Nation,England,measles_cases_casesByOnsetWeek,all,all,default,2024,2024-11-18,29.0000,False
