year,period_start,period_end,complete_year,region,age_group,annual_cases,england_age_cases
2025,2025-01-01,2025-12-31,True,East of England,under_1,7.0,117.0
2025,2025-01-01,2025-12-31,True,London,under_1,49.0,117.0
2025,2025-01-01,2025-12-31,True,North East,under_1,1.0,117.0
2025,2025-01-01,2025-12-31,True,North West,under_1,24.0,117.0
2025,2025-01-01,2025-12-31,True,South East,under_1,4.0,117.0
2025,2025-01-01,2025-12-31,True,South West,under_1,10.0,117.0
2025,2025-01-01,2025-12-31,True,West Midlands,under_1,9.0,117.0
2025,2025-01-01,2025-12-31,True,Yorkshire and The Humber,under_1,7.0,117.0
2025,2025-01-01,2025-12-31,True,East Midlands,1_to_4,6.0,308.0
2025,2025-01-01,2025-12-31,True,East of England,1_to_4,20.0,308.0
2025,2025-01-01,2025-12-31,True,London,1_to_4,166.0,308.0
2025,2025-01-01,2025-12-31,True,North East,1_to_4,2.0,308.0
2025,2025-01-01,2025-12-31,True,North West,1_to_4,51.0,308.0
2025,2025-01-01,2025-12-31,True,South East,1_to_4,5.0,308.0
2025,2025-01-01,2025-12-31,True,South West,1_to_4,14.0,308.0
2025,2025-01-01,2025-12-31,True,West Midlands,1_to_4,26.0,308.0
2025,2025-01-01,2025-12-31,True,Yorkshire and The Humber,1_to_4,18.0,308.0
2025,2025-01-01,2025-12-31,True,East Midlands,5_to_10,0.0,230.0
2025,2025-01-01,2025-12-31,True,East of England,5_to_10,23.0,230.0
2025,2025-01-01,2025-12-31,True,London,5_to_10,144.0,230.0
2025,2025-01-01,2025-12-31,True,North East,5_to_10,0.0,230.0
2025,2025-01-01,2025-12-31,True,North West,5_to_10,25.0,230.0
2025,2025-01-01,2025-12-31,True,South East,5_to_10,5.0,230.0
2025,2025-01-01,2025-12-31,True,South West,5_to_10,6.0,230.0
2025,2025-01-01,2025-12-31,True,West Midlands,5_to_10,9.0,230.0
2025,2025-01-01,2025-12-31,True,Yorkshire and The Humber,5_to_10,18.0,230.0
2025,2025-01-01,2025-12-31,True,East Midlands,11_to_14,1.0,60.0
2025,2025-01-01,2025-12-31,True,East of England,11_to_14,6.0,60.0
2025,2025-01-01,2025-12-31,True,London,11_to_14,32.0,60.0
2025,2025-01-01,2025-12-31,True,North East,11_to_14,0.0,60.0
2025,2025-01-01,2025-12-31,True,North West,11_to_14,7.0,60.0
2025,2025-01-01,2025-12-31,True,South East,11_to_14,0.0,60.0
2025,2025-01-01,2025-12-31,True,South West,11_to_14,4.0,60.0
2025,2025-01-01,2025-12-31,True,West Midlands,11_to_14,7.0,60.0
2025,2025-01-01,2025-12-31,True,Yorkshire and The Humber,11_to_14,3.0,60.0
2025,2025-01-01,2025-12-31,True,East Midlands,15_to_24,4.0,92.0
2025,2025-01-01,2025-12-31,True,East of England,15_to_24,10.0,92.0
2025,2025-01-01,2025-12-31,True,London,15_to_24,37.0,92.0
2025,2025-01-01,2025-12-31,True,North East,15_to_24,0.0,92.0
2025,2025-01-01,2025-12-31,True,North West,15_to_24,7.0,92.0
2025,2025-01-01,2025-12-31,True,South East,15_to_24,9.0,92.0
2025,2025-01-01,2025-12-31,True,South West,15_to_24,6.0,92.0
2025,2025-01-01,2025-12-31,True,West Midlands,15_to_24,15.0,92.0
2025,2025-01-01,2025-12-31,True,Yorkshire and The Humber,15_to_24,4.0,92.0
2025,2025-01-01,2025-12-31,True,East Midlands,25_to_34,3.0,89.0
2025,2025-01-01,2025-12-31,True,East of England,25_to_34,7.0,89.0
2025,2025-01-01,2025-12-31,True,London,25_to_34,41.0,89.0
2025,2025-01-01,2025-12-31,True,North East,25_to_34,0.0,89.0
2025,2025-01-01,2025-12-31,True,North West,25_to_34,12.0,89.0
2025,2025-01-01,2025-12-31,True,South East,25_to_34,3.0,89.0
2025,2025-01-01,2025-12-31,True,South West,25_to_34,11.0,89.0
2025,2025-01-01,2025-12-31,True,West Midlands,25_to_34,8.0,89.0
2025,2025-01-01,2025-12-31,True,Yorkshire and The Humber,25_to_34,4.0,89.0
2025,2025-01-01,2025-12-31,True,East Midlands,35_and_over,2.0,63.0
2025,2025-01-01,2025-12-31,True,East of England,35_and_over,3.0,63.0
2025,2025-01-01,2025-12-31,True,London,35_and_over,24.0,63.0
2025,2025-01-01,2025-12-31,True,North East,35_and_over,3.0,63.0
2025,2025-01-01,2025-12-31,True,North West,35_and_over,8.0,63.0
2025,2025-01-01,2025-12-31,True,South East,35_and_over,8.0,63.0
2025,2025-01-01,2025-12-31,True,South West,35_and_over,9.0,63.0
2025,2025-01-01,2025-12-31,True,West Midlands,35_and_over,2.0,63.0
2025,2025-01-01,2025-12-31,True,Yorkshire and The Humber,35_and_over,4.0,63.0
2026,2026-01-01,2026-06-22,False,East Midlands,under_1,2.0,94.0
2026,2026-01-01,2026-06-22,False,East of England,under_1,10.0,94.0
2026,2026-01-01,2026-06-22,False,London,under_1,42.0,94.0
2026,2026-01-01,2026-06-22,False,North East,under_1,1.0,94.0
2026,2026-01-01,2026-06-22,False,North West,under_1,10.0,94.0
2026,2026-01-01,2026-06-22,False,South East,under_1,0.0,94.0
2026,2026-01-01,2026-06-22,False,South West,under_1,0.0,94.0
2026,2026-01-01,2026-06-22,False,West Midlands,under_1,25.0,94.0
2026,2026-01-01,2026-06-22,False,Yorkshire and The Humber,under_1,4.0,94.0
2026,2026-01-01,2026-06-22,False,East Midlands,1_to_4,5.0,220.0
2026,2026-01-01,2026-06-22,False,East of England,1_to_4,17.0,220.0
2026,2026-01-01,2026-06-22,False,London,1_to_4,121.0,220.0
2026,2026-01-01,2026-06-22,False,North East,1_to_4,1.0,220.0
2026,2026-01-01,2026-06-22,False,North West,1_to_4,21.0,220.0
2026,2026-01-01,2026-06-22,False,South East,1_to_4,2.0,220.0
2026,2026-01-01,2026-06-22,False,South West,1_to_4,2.0,220.0
2026,2026-01-01,2026-06-22,False,West Midlands,1_to_4,38.0,220.0
2026,2026-01-01,2026-06-22,False,Yorkshire and The Humber,1_to_4,13.0,220.0
2026,2026-01-01,2026-06-22,False,East Midlands,5_to_10,1.0,168.0
2026,2026-01-01,2026-06-22,False,East of England,5_to_10,16.0,168.0
2026,2026-01-01,2026-06-22,False,London,5_to_10,100.0,168.0
2026,2026-01-01,2026-06-22,False,North East,5_to_10,1.0,168.0
2026,2026-01-01,2026-06-22,False,North West,5_to_10,17.0,168.0
2026,2026-01-01,2026-06-22,False,South East,5_to_10,0.0,168.0
2026,2026-01-01,2026-06-22,False,South West,5_to_10,0.0,168.0
2026,2026-01-01,2026-06-22,False,West Midlands,5_to_10,25.0,168.0
2026,2026-01-01,2026-06-22,False,Yorkshire and The Humber,5_to_10,8.0,168.0
2026,2026-01-01,2026-06-22,False,East Midlands,11_to_14,2.0,50.0
2026,2026-01-01,2026-06-22,False,East of England,11_to_14,2.0,50.0
2026,2026-01-01,2026-06-22,False,London,11_to_14,29.0,50.0
2026,2026-01-01,2026-06-22,False,North East,11_to_14,0.0,50.0
2026,2026-01-01,2026-06-22,False,North West,11_to_14,8.0,50.0
2026,2026-01-01,2026-06-22,False,South East,11_to_14,0.0,50.0
2026,2026-01-01,2026-06-22,False,South West,11_to_14,0.0,50.0
2026,2026-01-01,2026-06-22,False,West Midlands,11_to_14,7.0,50.0
2026,2026-01-01,2026-06-22,False,Yorkshire and The Humber,11_to_14,2.0,50.0
2026,2026-01-01,2026-06-22,False,East Midlands,15_to_24,1.0,97.0
2026,2026-01-01,2026-06-22,False,East of England,15_to_24,4.0,97.0
2026,2026-01-01,2026-06-22,False,London,15_to_24,55.0,97.0
2026,2026-01-01,2026-06-22,False,North East,15_to_24,0.0,97.0
2026,2026-01-01,2026-06-22,False,North West,15_to_24,8.0,97.0
2026,2026-01-01,2026-06-22,False,South East,15_to_24,3.0,97.0
2026,2026-01-01,2026-06-22,False,South West,15_to_24,0.0,97.0
2026,2026-01-01,2026-06-22,False,West Midlands,15_to_24,11.0,97.0
2026,2026-01-01,2026-06-22,False,Yorkshire and The Humber,15_to_24,15.0,97.0
2026,2026-01-01,2026-06-22,False,East Midlands,25_to_34,3.0,92.0
2026,2026-01-01,2026-06-22,False,East of England,25_to_34,8.0,92.0
2026,2026-01-01,2026-06-22,False,London,25_to_34,44.0,92.0
2026,2026-01-01,2026-06-22,False,North East,25_to_34,1.0,92.0
2026,2026-01-01,2026-06-22,False,North West,25_to_34,14.0,92.0
2026,2026-01-01,2026-06-22,False,South East,25_to_34,0.0,92.0
2026,2026-01-01,2026-06-22,False,South West,25_to_34,1.0,92.0
2026,2026-01-01,2026-06-22,False,West Midlands,25_to_34,15.0,92.0
2026,2026-01-01,2026-06-22,False,Yorkshire and The Humber,25_to_34,6.0,92.0
2026,2026-01-01,2026-06-22,False,East Midlands,35_and_over,0.0,80.0
2026,2026-01-01,2026-06-22,False,East of England,35_and_over,6.0,80.0
2026,2026-01-01,2026-06-22,False,London,35_and_over,39.0,80.0
2026,2026-01-01,2026-06-22,False,North East,35_and_over,1.0,80.0
2026,2026-01-01,2026-06-22,False,North West,35_and_over,9.0,80.0
2026,2026-01-01,2026-06-22,False,South East,35_and_over,2.0,80.0
2026,2026-01-01,2026-06-22,False,South West,35_and_over,4.0,80.0
2026,2026-01-01,2026-06-22,False,West Midlands,35_and_over,18.0,80.0
2026,2026-01-01,2026-06-22,False,Yorkshire and The Humber,35_and_over,1.0,80.0
