level_id,parameter,parameter_value,baseline_value,is_baseline,tested_lower,tested_upper
contact_scale:4,contact_scale,0.16858211564868417,0.1580457334206414,False,0.12643658673651312,0.1896548801047697
contact_scale:5,contact_scale,0.17911849787672693,0.1580457334206414,False,0.12643658673651312,0.1896548801047697
contact_scale:6,contact_scale,0.1896548801047697,0.1580457334206414,False,0.12643658673651312,0.1896548801047697
sick_contact_multiplier:0,sick_contact_multiplier,0.5299687986149609,0.6624609982687012,False,0.5299687986149609,0.7949531979224415
sick_contact_multiplier:1,sick_contact_multiplier,0.5741328651662077,0.6624609982687012,False,0.5299687986149609,0.7949531979224415
sick_contact_multiplier:2,sick_contact_multiplier,0.6182969317174545,0.6624609982687012,False,0.5299687986149609,0.7949531979224415
sick_contact_multiplier:3,sick_contact_multiplier,0.6624609982687012,0.6624609982687012,True,0.5299687986149609,0.7949531979224415
sick_contact_multiplier:4,sick_contact_multiplier,0.7066250648199479,0.6624609982687012,False,0.5299687986149609,0.7949531979224415
sick_contact_multiplier:5,sick_contact_multiplier,0.7507891313711947,0.6624609982687012,False,0.5299687986149609,0.7949531979224415
sick_contact_multiplier:6,sick_contact_multiplier,0.7949531979224415,0.6624609982687012,False,0.5299687986149609,0.7949531979224415
sick_mobility_multiplier:0,sick_mobility_multiplier,0.11142621730804161,0.139282771635052,False,0.11142621730804161,0.1671393259620624
sick_mobility_multiplier:1,sick_mobility_multiplier,0.12071173541704508,0.139282771635052,False,0.11142621730804161,0.1671393259620624
sick_mobility_multiplier:2,sick_mobility_multiplier,0.12999725352604855,0.139282771635052,False,0.11142621730804161,0.1671393259620624
sick_mobility_multiplier:3,sick_mobility_multiplier,0.139282771635052,0.139282771635052,True,0.11142621730804161,0.1671393259620624
sick_mobility_multiplier:4,sick_mobility_multiplier,0.14856828974405548,0.139282771635052,False,0.11142621730804161,0.1671393259620624
sick_mobility_multiplier:5,sick_mobility_multiplier,0.15785380785305894,0.139282771635052,False,0.11142621730804161,0.1671393259620624
sick_mobility_multiplier:6,sick_mobility_multiplier,0.1671393259620624,0.139282771635052,False,0.11142621730804161,0.1671393259620624
seed_infections_per_week:0,seed_infections_per_week,4.175599416388989,5.219499270486237,False,4.175599416388989,6.263399124583485
seed_infections_per_week:1,seed_infections_per_week,4.523566034421405,5.219499270486237,False,4.175599416388989,6.263399124583485
seed_infections_per_week:2,seed_infections_per_week,4.871532652453821,5.219499270486237,False,4.175599416388989,6.263399124583485
seed_infections_per_week:3,seed_infections_per_week,5.219499270486237,5.219499270486237,True,4.175599416388989,6.263399124583485
