age_group,outcome,parameter,spearman_rho,association_share,association_allocated_variance,screening_importance_share,screening_allocated_parameter_variance,sensitivity_rank
under_1,peak_weekly_cases,initial_infectious_per_case,0.07560358693086619,0.004578597332037056,0.003411736065027432,0.004578597332037056,0.003411736065027432,17
under_1,peak_weekly_cases,psi,0.06830732433109672,0.0037375085723160006,0.0027849998295977007,0.0037375085723160006,0.0027849998295977007,18
under_1,peak_weekly_cases,seasonal_amplitude,-0.05859041931587432,0.002749798444255581,0.0020490088652651063,0.002749798444255581,0.0020490088652651063,19
under_1,peak_weekly_cases,nu,0.04705660184933677,0.0017737351528290394,0.0013216965266568677,0.0017737351528290394,0.0013216965266568677,20
under_1,peak_weekly_cases,dt,-0.04324823890020219,0.001498250752074172,0.0011164196706137765,0.001498250752074172,0.0011164196706137765,21
under_1,peak_weekly_cases,eta,-0.02712779047388799,0.0005894900709806436,0.0004392577877656365,0.0005894900709806436,0.0004392577877656365,22
under_1,peak_weekly_cases,seed_infections_per_week,-0.0012618242378424854,1.2753969682172573e-06,9.503604528065203e-07,1.2753969682172573e-06,9.503604528065203e-07,23
under_1,cumulative_cases,contact_scale,0.5080850637738942,0.20430626356365444,2.3438644289677515,0.20430626356365444,2.3438644289677515,1
under_1,cumulative_cases,mu,0.465204111562857,0.171275764231175,1.9649283596273188,0.171275764231175,1.9649283596273188,2
under_1,cumulative_cases,seasonal_period_weeks,0.4328867461646007,0.14830554981251737,1.701406979702129,0.14830554981251737,1.701406979702129,3
under_1,cumulative_cases,sigma,0.3935393881338953,0.12257029665703958,1.4061642231196274,0.12257029665703958,1.4061642231196274,4
under_1,cumulative_cases,local_mixing,0.36106465619319517,0.1031760225881273,1.1836671330996131,0.1031760225881273,1.1836671330996131,5
under_1,cumulative_cases,sick_contact_multiplier,0.28770037410583915,0.06550729679726999,0.7515199001870868,0.06550729679726999,0.7515199001870868,6
under_1,cumulative_cases,gamma,0.25984935730312775,0.05343823667691792,0.6130599224372961,0.05343823667691792,0.6130599224372961,7
under_1,cumulative_cases,reporting_rate,0.18425333152293066,0.026868258837362335,0.30824094699167703,0.026868258837362335,0.30824094699167703,8
under_1,cumulative_cases,phi,-0.1586283359933351,0.019914543802699292,0.2284657847688756,0.019914543802699292,0.2284657847688756,9
under_1,cumulative_cases,noise_scale,0.14473716211033077,0.016579404644551474,0.190204040355912,0.016579404644551474,0.190204040355912,10
under_1,cumulative_cases,sick_mobility_multiplier,0.12861424453448542,0.013091426363807236,0.1501888784188852,0.013091426363807236,0.1501888784188852,11
under_1,cumulative_cases,initial_exposed_per_case,0.12266292802024258,0.011907908247659306,0.13661119379438139,0.011907908247659306,0.13661119379438139,12
under_1,cumulative_cases,sh_noise_multiplier,-0.1141422450493699,0.01031102039473513,0.11829120413653366,0.01031102039473513,0.11829120413653366,13
under_1,cumulative_cases,seasonal_peak_week,0.09390490769108165,0.006978874769705836,0.08006380245820315,0.006978874769705836,0.08006380245820315,14
under_1,cumulative_cases,delta,-0.08293216786794642,0.0054432071362601865,0.062446150028135076,0.0054432071362601865,0.062446150028135076,15
under_1,cumulative_cases,initial_infectious_per_case,0.08140428180130907,0.005244490743129846,0.06016641431574532,0.005244490743129846,0.06016641431574532,16
under_1,cumulative_cases,beta_0,0.08066608965675395,0.005149805593030896,0.05908015708898508,0.005149805593030896,0.05908015708898508,17
under_1,cumulative_cases,seasonal_amplitude,-0.0773070292780419,0.004729843754702736,0.054262225434752676,0.004729843754702736,0.054262225434752676,18
under_1,cumulative_cases,psi,0.04681225456227261,0.0017343148437706669,0.019896594455990933,0.0017343148437706669,0.019896594455990933,19
under_1,cumulative_cases,nu,0.03725295241127005,0.0010983233593597722,0.012600304115031057,0.0010983233593597722,0.012600304115031057,20
under_1,cumulative_cases,dt,-0.033284454331820625,0.0008767821670637585,0.010058715271319726,0.0008767821670637585,0.010058715271319726,21
under_1,cumulative_cases,eta,-0.03292108067926829,0.0008577426223543742,0.009840287745850527,0.0008577426223543742,0.009840287745850527,22
under_1,cumulative_cases,seed_infections_per_week,0.02831739401031795,0.0006346223931055823,0.00728058370351001,0.0006346223931055823,0.00728058370351001,23
under_1,final_week_cases,contact_scale,0.5009942804354757,0.1988455695734326,0.1964995149765167,0.1988455695734326,0.1964995149765167,1
under_1,final_week_cases,mu,0.48684259473535596,0.18777056811660736,0.1855551805400046,0.18777056811660736,0.1855551805400046,2
under_1,final_week_cases,seasonal_period_weeks,0.4373775032708049,0.1515525561166094,0.1497644822273371,0.1515525561166094,0.1497644822273371,3
under_1,final_week_cases,sigma,0.4359869413520305,0.15059042065298875,0.14881369839871705,0.15059042065298875,0.14881369839871705,4
under_1,final_week_cases,local_mixing,0.38063914349859007,0.11478292254445997,0.1134286705806845,0.11478292254445997,0.1134286705806845,5
under_1,final_week_cases,sick_contact_multiplier,0.30987785375947546,0.0760731609346663,0.07517562125452376,0.0760731609346663,0.07517562125452376,6
under_1,final_week_cases,phi,-0.18752843357694027,0.02786022602010617,0.027531520625936202,0.02786022602010617,0.027531520625936202,7
under_1,final_week_cases,noise_scale,0.1668130667211241,0.022045020985327273,0.021784925560859515,0.022045020985327273,0.021784925560859515,8
under_1,final_week_cases,sick_mobility_multiplier,0.12137087661006438,0.011670228534118136,0.011532538801536912,0.011670228534118136,0.011532538801536912,9
under_1,final_week_cases,gamma,0.11397171380769688,0.01029069107999356,0.010169277647622642,0.01029069107999356,0.010169277647622642,10
under_1,final_week_cases,seasonal_peak_week,0.11236942023873873,0.010003377627719225,0.009885354027200784,0.010003377627719225,0.009885354027200784,11
under_1,final_week_cases,initial_exposed_per_case,0.11155110602316368,0.00985821180316449,0.00974190092348133,0.00985821180316449,0.00974190092348133,12
under_1,final_week_cases,sh_noise_multiplier,-0.10783721842939996,0.009212717149200418,0.009104022057505221,0.009212717149200418,0.009104022057505221,13
under_1,final_week_cases,beta_0,0.07936789519523268,0.004990454608019626,0.004931575353133733,0.004990454608019626,0.004931575353133733,14
under_1,final_week_cases,delta,-0.07094727024265438,0.003987693440602569,0.0039406451380052995,0.003987693440602569,0.0039406451380052995,15
under_1,final_week_cases,seasonal_amplitude,-0.061136083371301664,0.0029610490979533857,0.00292611353030232,0.0029610490979533857,0.00292611353030232,16
under_1,final_week_cases,reporting_rate,0.05803163958144524,0.0026679646154338962,0.0026364869684142767,0.0026679646154338962,0.0026364869684142767,17
under_1,final_week_cases,seed_infections_per_week,0.0488556476606438,0.0018909495114320344,0.0018686393799900926,0.0018909495114320344,0.0018686393799900926,18
under_1,final_week_cases,eta,-0.0413677864642804,0.0013557354412510444,0.0013397399661143742,0.0013557354412510444,0.0013397399661143742,19
under_1,final_week_cases,initial_infectious_per_case,0.030420687902077,0.0007331425815755005,0.0007244926904696048,0.0007331425815755005,0.0007244926904696048,20
under_1,final_week_cases,nu,0.023822671884188594,0.00044960519603611367,0.0004443005853313311,0.00044960519603611367,0.0004443005853313311,21
under_1,final_week_cases,psi,-0.02124183474275956,0.00035746574842930026,0.00035324823347967577,0.00035746574842930026,0.00035324823347967577,22
under_1,final_week_cases,dt,-0.007965688028534836,5.0268620872870376e-05,4.967553283307943e-05,5.0268620872870376e-05,4.967553283307943e-05,23
all ages combined,outbreak_indicator,seasonal_period_weeks,0.40112483077944927,0.17686622018250156,0.00011433968252997623,0.17686622018250156,0.00011433968252997623,1
all ages combined,outbreak_indicator,contact_scale,0.3952893288288468,0.17175760732362358,0.00011103708935051021,0.17175760732362358,0.00011103708935051021,2
all ages combined,outbreak_indicator,mu,0.35810575382726745,0.14096405975777215,9.112981452427113e-05,0.14096405975777215,9.112981452427113e-05,3
all ages combined,outbreak_indicator,gamma,0.3523243469121282,0.13644923713542115,8.821109219964579e-05,0.13644923713542115,8.821109219964579e-05,4
all ages combined,outbreak_indicator,reporting_rate,0.2884076815725339,0.09143225850380125,5.9108717309251714e-05,0.09143225850380125,5.9108717309251714e-05,5
all ages combined,outbreak_indicator,sigma,0.22437268334286364,0.05533829376362782,3.5774852508041394e-05,0.05533829376362782,3.5774852508041394e-05,6
all ages combined,outbreak_indicator,local_mixing,0.19489426995508669,0.04175264012434091,2.699205994044196e-05,0.04175264012434091,2.699205994044196e-05,7
all ages combined,outbreak_indicator,sick_contact_multiplier,0.18338217022055517,0.03696579212016307,2.389747986431335e-05,0.03696579212016307,2.389747986431335e-05,8
all ages combined,outbreak_indicator,psi,0.15473208706330988,0.026317617323944113,1.701369547367579e-05,0.026317617323944113,1.701369547367579e-05,9
all ages combined,outbreak_indicator,delta,-0.15115167190358333,0.025113758371718822,1.623543012562756e-05,0.025113758371718822,1.623543012562756e-05,10
all ages combined,outbreak_indicator,seasonal_peak_week,0.1379998164065708,0.020933546817233164,1.35330256667386e-05,0.020933546817233164,1.35330256667386e-05,11
all ages combined,outbreak_indicator,dt,-0.12496967473935068,0.017167026587778116,1.1098062524346351e-05,0.017167026587778116,1.1098062524346351e-05,12
all ages combined,outbreak_indicator,sick_mobility_multiplier,0.10845716516418123,0.012930112343314634,8.359001164190605e-06,0.012930112343314634,8.359001164190605e-06,13
all ages combined,outbreak_indicator,nu,0.10443722784131546,0.011989373002466731,7.75083620501967e-06,0.011989373002466731,7.75083620501967e-06,14
all ages combined,outbreak_indicator,phi,-0.09765168183038893,0.010482026556714114,6.776373620292065e-06,0.010482026556714114,6.776373620292065e-06,15
all ages combined,outbreak_indicator,beta_0,0.08530448998589285,0.007998887383004935,5.171084919562851e-06,0.007998887383004935,5.171084919562851e-06,16
all ages combined,outbreak_indicator,initial_infectious_per_case,0.06706432021561454,0.00494389062775387,3.1961042886369617e-06,0.00494389062775387,3.1961042886369617e-06,17
all ages combined,outbreak_indicator,sh_noise_multiplier,-0.05718183342441463,0.003594197625337543,2.323560796442846e-06,0.003594197625337543,2.323560796442846e-06,18
all ages combined,outbreak_indicator,eta,-0.0495206240269261,0.0026956159553609333,1.7426497396770927e-06,0.0026956159553609333,1.7426497396770927e-06,19
all ages combined,outbreak_indicator,noise_scale,0.0375182880335085,0.001547290386596492,1.0002853648513177e-06,0.001547290386596492,1.0002853648513177e-06,20
all ages combined,outbreak_indicator,seed_infections_per_week,0.03457010860075916,0.0013136730442077891,8.492574708042905e-07,0.0013136730442077891,8.492574708042905e-07,21
all ages combined,outbreak_indicator,initial_exposed_per_case,0.02692918484156936,0.0007971356189790477,5.153286676978347e-07,0.0007971356189790477,5.153286676978347e-07,22
all ages combined,outbreak_indicator,seasonal_amplitude,0.024312337501032674,0.0006497394443382717,4.2004064832834143e-07,0.0006497394443382717,4.2004064832834143e-07,23
all ages combined,peak_weekly_cases,contact_scale,0.4737217829682704,0.18250363221529245,7.807098370978514,0.18250363221529245,7.807098370978514,1
all ages combined,peak_weekly_cases,mu,0.4543055017316476,0.1678497869680287,7.180239551952239,0.1678497869680287,7.180239551952239,2
all ages combined,peak_weekly_cases,seasonal_period_weeks,0.43557305356539805,0.15429320880160569,6.600319371545792,0.15429320880160569,6.600319371545792,3
all ages combined,peak_weekly_cases,sigma,0.3560223805294679,0.10308118475076587,4.409583194469738,0.10308118475076587,4.409583194469738,4
all ages combined,peak_weekly_cases,local_mixing,0.3228264337408889,0.08475454151927195,3.6256102686634333,0.08475454151927195,3.6256102686634333,5
