level_id,parameter,parameter_value,age_group,outcome,conditional_mean,conditional_variance,simulations,baseline_value,is_baseline
beta_0:2,beta_0,4.349333333333333e-05,all ages combined,final_week_cases,22.453333333333333,26.36782222222222,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,all ages combined,outbreak_indicator,1.0,0.0,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,all ages combined,peak_weekly_cases,28.043333333333333,13.668122222222221,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,under_1,cumulative_cases,13.743333333333334,15.617455555555555,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,under_1,final_week_cases,2.19,2.4005666666666663,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,under_1,outbreak_indicator,0.0,0.0,300,4.66e-05,False
beta_0:2,beta_0,4.349333333333333e-05,under_1,peak_weekly_cases,4.333333333333333,1.8488888888888892,300,4.66e-05,False
beta_0:3,beta_0,4.66e-05,11_to_14,cumulative_cases,7.16,8.067733333333335,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,11_to_14,final_week_cases,1.2666666666666666,1.4155555555555555,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,11_to_14,outbreak_indicator,0.0,0.0,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,11_to_14,peak_weekly_cases,2.6933333333333334,1.039288888888889,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,15_to_24,cumulative_cases,10.686666666666667,11.675155555555556,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,15_to_24,final_week_cases,1.9466666666666668,2.0838222222222225,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,15_to_24,outbreak_indicator,0.0,0.0,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,15_to_24,peak_weekly_cases,3.5366666666666666,1.381988888888889,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,1_to_4,cumulative_cases,15.04,15.765066666666668,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,1_to_4,final_week_cases,2.19,2.0672333333333337,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,1_to_4,outbreak_indicator,0.0,0.0,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,1_to_4,peak_weekly_cases,4.823333333333333,2.045455555555556,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,25_to_34,cumulative_cases,16.313333333333333,19.961822222222224,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,25_to_34,final_week_cases,2.9,3.296666666666667,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,25_to_34,outbreak_indicator,0.0,0.0,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,25_to_34,peak_weekly_cases,4.973333333333334,2.0059555555555555,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,35_and_over,cumulative_cases,28.006666666666668,40.513288888888894,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,35_and_over,final_week_cases,5.0,5.58,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,35_and_over,outbreak_indicator,0.0,0.0,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,35_and_over,peak_weekly_cases,7.526666666666666,3.829288888888888,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,5_to_10,cumulative_cases,40.22,50.791599999999995,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,5_to_10,final_week_cases,7.003333333333333,7.4366555555555545,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,5_to_10,outbreak_indicator,0.0033333333333333335,0.0033222222222222216,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,5_to_10,peak_weekly_cases,10.126666666666667,3.8706222222222215,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,all ages combined,cumulative_cases,131.17,202.62776666666667,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,all ages combined,final_week_cases,22.49,26.536566666666666,300,4.66e-05,True
beta_0:3,beta_0,4.66e-05,all ages combined,outbreak_indicator,1.0,0.0,300,4.66e-05,True
