parameter,age_group,outcome,baseline_parameter_value,tested_lower,tested_upper,baseline_outcome_mean,minimum_level_mean,maximum_level_mean,low_level_outcome_mean,high_level_outcome_mean,low_to_high_outcome_change,outcome_mean_spread,relative_outcome_spread,outbreak_probability_spread_percentage_points,outbreak_probability_low_to_high_change_percentage_points,raw_variance_across_level_means,monte_carlo_variance_of_level_mean,noise_adjusted_parameter_variance,mean_within_level_stochastic_variance,oat_total_predictive_variance,oat_parameter_variance_fraction,oat_stochastic_variance_fraction,parameter_signal_to_mc_noise,isolated_variance_screening_share,relative_parameter_variance_share_percent,sensitivity_rank
delta,5_to_10,final_week_cases,0.0009,0.0007199999999999999,0.00108,7.003333333333333,6.86,7.033333333333333,6.88,6.9366666666666665,0.05666666666666664,0.1733333333333329,0.024750118990956627,,,0.0038879818594104204,0.025774042328042323,0.0,7.732212698412697,7.732212698412697,0.0,1.0,0.0,0.0,0.0,13.0
delta,5_to_10,outbreak_indicator,0.0009,0.0007199999999999999,0.00108,0.0033333333333333335,0.0033333333333333335,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0,0.0033333333333333335,1.0,0.33333333333333337,0.0,2.267573696145125e-06,1.8931216931216926e-05,0.0,0.0056793650793650775,0.0056793650793650775,0.0,1.0,0.0,0.0,0.0,10.0
delta,5_to_10,peak_weekly_cases,0.0009,0.0007199999999999999,0.00108,10.126666666666667,10.07,10.156666666666666,10.1,10.156666666666666,0.05666666666666664,0.086666666666666,0.008558262014483146,,,0.0007360544217686997,0.013367058201058199,0.0,4.01011746031746,4.01011746031746,0.0,1.0,0.0,0.0,0.0,13.0
delta,all ages combined,cumulative_cases,0.0009,0.0007199999999999999,0.00108,131.17,130.24,131.82,130.24,131.82,1.579999999999984,1.579999999999984,0.012045437218876147,,,0.312529251700674,0.6781175185185185,0.0,203.43525555555556,203.43525555555556,0.0,1.0,0.0,0.0,0.0,14.0
delta,all ages combined,final_week_cases,0.0009,0.0007199999999999999,0.00108,22.49,22.206666666666667,22.55666666666667,22.206666666666667,22.493333333333332,0.2866666666666653,0.3500000000000014,0.015562472209871118,,,0.013993650793650777,0.0916401111111111,0.0,27.49203333333333,27.49203333333333,0.0,1.0,0.0,0.0,0.0,14.0
delta,all ages combined,outbreak_indicator,0.0009,0.0007199999999999999,0.00108,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
delta,all ages combined,peak_weekly_cases,0.0009,0.0007199999999999999,0.00108,28.093333333333334,27.88,28.33,27.88,28.33,0.4499999999999993,0.4499999999999993,0.016018035121025127,,,0.023204535147392187,0.04555885714285714,0.0,13.667657142857141,13.667657142857141,0.0,1.0,0.0,0.0,0.0,13.0
delta,under_1,cumulative_cases,0.0009,0.0007199999999999999,0.00108,13.743333333333334,13.573333333333334,13.796666666666667,13.71,13.573333333333334,-0.13666666666666671,0.22333333333333272,0.016250303177298038,,,0.005139229024943297,0.051939936507936504,0.0,15.58198095238095,15.58198095238095,0.0,1.0,0.0,0.0,0.0,12.0
delta,under_1,final_week_cases,0.0009,0.0007199999999999999,0.00108,2.183333333333333,2.1133333333333333,2.2333333333333334,2.14,2.1133333333333333,-0.02666666666666684,0.1200000000000001,0.054961832061068756,,,0.0014857142857142853,0.0074780793650793655,0.0,2.2434238095238097,2.2434238095238097,0.0,1.0,0.0,0.0,0.0,13.0
delta,under_1,outbreak_indicator,0.0009,0.0007199999999999999,0.00108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
