model,origin_date,origin_cases,forecast_probability,observed_event,classification,median_mae,median_rmse,p10_p90_coverage,brier_score
non-seasonal,2025-06-16,19.0,1.0,True,DETECTED OUTBREAK,6.0,7.895146188218008,0.6666666666666666,0.0
seasonal,2025-06-16,19.0,0.98,True,DETECTED OUTBREAK,4.833333333333333,6.59545297913646,0.6666666666666666,0.0004000000000000007
non-seasonal,2025-06-23,17.0,1.0,True,DETECTED OUTBREAK,6.333333333333333,7.118052168020874,0.5,0.0
seasonal,2025-06-23,17.0,0.92,True,DETECTED OUTBREAK,6.0,7.593857166596345,0.6666666666666666,0.006399999999999993
non-seasonal,2025-06-30,22.0,1.0,True,DETECTED OUTBREAK,10.666666666666666,12.206555615733702,0.16666666666666666,0.0
seasonal,2025-06-30,22.0,1.0,True,DETECTED OUTBREAK,4.0,5.597618541248888,0.6666666666666666,0.0
non-seasonal,2025-07-07,20.0,1.0,True,DETECTED OUTBREAK,12.083333333333334,13.173521422408918,0.0,0.0
seasonal,2025-07-07,20.0,0.98,True,DETECTED OUTBREAK,4.166666666666667,5.522680508593631,0.6666666666666666,0.0004000000000000007
non-seasonal,2025-07-14,30.0,1.0,False,FALSE ALARM,22.833333333333332,23.96872962841377,0.0,1.0
seasonal,2025-07-14,30.0,1.0,False,FALSE ALARM,8.0,8.406346808612328,0.3333333333333333,1.0
non-seasonal,2025-07-21,11.0,1.0,False,FALSE ALARM,9.333333333333334,10.801234497346433,0.3333333333333333,1.0
seasonal,2025-07-21,11.0,0.48,False,FALSE ALARM,3.5,3.763863263545405,0.6666666666666666,0.2304
non-seasonal,2025-07-28,15.0,1.0,False,FALSE ALARM,13.583333333333334,14.85064532829017,0.16666666666666666,1.0
seasonal,2025-07-28,15.0,0.43,False,FALSE ALARM,4.333333333333333,4.804511768466525,0.8333333333333334,0.18489999999999998
non-seasonal,2025-08-04,14.0,1.0,False,FALSE ALARM,12.166666666666666,12.376052143824648,0.0,1.0
seasonal,2025-08-04,14.0,0.37,False,CORRECT BELOW THRESHOLD,4.833333333333333,5.180090089306685,0.16666666666666666,0.1369
non-seasonal,2025-08-11,8.0,0.87,False,FALSE ALARM,8.75,9.002314517204265,0.0,0.7569
seasonal,2025-08-11,8.0,0.03,False,CORRECT BELOW THRESHOLD,3.1666666666666665,3.391164991562634,0.8333333333333334,0.0009
non-seasonal,2025-08-18,3.0,0.38,False,CORRECT BELOW THRESHOLD,5.5,5.84522597225006,0.5,0.1444
seasonal,2025-08-18,3.0,0.02,False,CORRECT BELOW THRESHOLD,1.1666666666666667,1.5811388300841898,1.0,0.0004
non-seasonal,2025-08-25,5.0,0.29,False,CORRECT BELOW THRESHOLD,5.083333333333333,5.660535899247232,0.3333333333333333,0.0841
seasonal,2025-08-25,5.0,0.0,False,CORRECT BELOW THRESHOLD,1.75,2.282177322938192,0.8333333333333334,0.0
non-seasonal,2025-09-01,5.0,0.25,False,CORRECT BELOW THRESHOLD,5.75,6.406377031260856,0.3333333333333333,0.0625
seasonal,2025-09-01,5.0,0.0,False,CORRECT BELOW THRESHOLD,2.6666666666666665,3.0550504633038935,0.6666666666666666,0.0
non-seasonal,2025-09-08,4.0,0.29,False,CORRECT BELOW THRESHOLD,5.0,5.597618541248888,0.3333333333333333,0.0841
seasonal,2025-09-08,4.0,0.0,False,CORRECT BELOW THRESHOLD,1.9166666666666667,2.2453655975512468,0.6666666666666666,0.0
non-seasonal,2025-09-15,6.0,0.41,False,FALSE ALARM,6.25,6.57330459763834,0.16666666666666666,0.16809999999999997
seasonal,2025-09-15,6.0,0.01,False,CORRECT BELOW THRESHOLD,2.5,2.857738033247041,0.6666666666666666,0.0001
non-seasonal,2025-09-22,3.0,0.25,False,CORRECT BELOW THRESHOLD,4.25,4.765326151831932,0.6666666666666666,0.0625
seasonal,2025-09-22,3.0,0.0,False,CORRECT BELOW THRESHOLD,1.4166666666666667,2.131118642090737,0.8333333333333334,0.0
non-seasonal,2025-09-29,4.0,0.15,False,CORRECT BELOW THRESHOLD,3.5833333333333335,3.8783587594066984,0.5,0.0225
seasonal,2025-09-29,4.0,0.0,False,CORRECT BELOW THRESHOLD,1.5,2.041241452319315,0.8333333333333334,0.0
non-seasonal,2025-10-06,2.0,0.19,False,CORRECT BELOW THRESHOLD,2.6666666666666665,3.0413812651491097,0.8333333333333334,0.0361
seasonal,2025-10-06,2.0,0.0,False,CORRECT BELOW THRESHOLD,1.8333333333333333,2.1213203435596424,0.8333333333333334,0.0
non-seasonal,2025-10-13,1.0,0.11,False,CORRECT BELOW THRESHOLD,1.5833333333333333,1.6457014715109584,1.0,0.0121
seasonal,2025-10-13,1.0,0.02,False,CORRECT BELOW THRESHOLD,2.3333333333333335,3.0,0.8333333333333334,0.0004
non-seasonal,2025-10-20,7.0,0.28,False,CORRECT BELOW THRESHOLD,1.0833333333333333,1.241638702145945,1.0,0.07840000000000001
seasonal,2025-10-20,7.0,0.02,False,CORRECT BELOW THRESHOLD,2.6666666666666665,3.366501646120693,0.6666666666666666,0.0004
non-seasonal,2025-10-27,5.0,0.27,False,CORRECT BELOW THRESHOLD,1.4166666666666667,1.8819316317727024,1.0,0.0729
seasonal,2025-10-27,5.0,0.02,False,CORRECT BELOW THRESHOLD,2.9166666666666665,3.4701104689428357,0.6666666666666666,0.0004
non-seasonal,2025-11-03,6.0,0.43,False,FALSE ALARM,2.25,3.115819849306653,0.8333333333333334,0.18489999999999998
seasonal,2025-11-03,6.0,0.02,False,CORRECT BELOW THRESHOLD,3.1666666666666665,3.763863263545405,0.6666666666666666,0.0004
non-seasonal,2025-11-10,7.0,0.55,False,FALSE ALARM,3.5,4.564354645876384,0.6666666666666666,0.30250000000000005
seasonal,2025-11-10,7.0,0.01,False,CORRECT BELOW THRESHOLD,2.6666666666666665,3.2145502536643185,0.6666666666666666,0.0001
non-seasonal,2025-11-17,8.0,0.57,False,FALSE ALARM,5.333333333333333,6.0,0.5,0.32489999999999997
seasonal,2025-11-17,8.0,0.04,False,CORRECT BELOW THRESHOLD,3.0,3.559026084010437,0.6666666666666666,0.0016
non-seasonal,2025-11-24,12.0,0.97,False,FALSE ALARM,8.583333333333334,9.842509842514763,0.16666666666666666,0.9409
seasonal,2025-11-24,12.0,0.21,False,CORRECT BELOW THRESHOLD,3.0833333333333335,3.3726843908080104,1.0,0.04409999999999999
non-seasonal,2025-12-01,12.0,0.97,True,DETECTED OUTBREAK,8.583333333333334,8.937281465859739,0.3333333333333333,0.0009000000000000016
seasonal,2025-12-01,12.0,0.36,True,MISSED OUTBREAK,5.833333333333333,6.745368781616021,0.5,0.4096
non-seasonal,2025-12-08,8.0,0.83,True,DETECTED OUTBREAK,6.0,6.576473218982953,0.3333333333333333,0.028900000000000012
seasonal,2025-12-08,8.0,0.14,True,MISSED OUTBREAK,6.166666666666667,7.199537022151725,0.16666666666666666,0.7395999999999999
non-seasonal,2025-12-15,6.0,0.53,True,DETECTED OUTBREAK,6.666666666666667,7.118052168020874,0.16666666666666666,0.22089999999999999
seasonal,2025-12-15,6.0,0.07,True,MISSED OUTBREAK,7.416666666666667,9.076067430335673,0.5,0.8648999999999999
non-seasonal,2025-12-22,4.0,0.27,True,MISSED OUTBREAK,6.916666666666667,8.228507357554792,0.5,0.5328999999999999
seasonal,2025-12-22,4.0,0.02,True,MISSED OUTBREAK,8.0,10.14889156509222,0.3333333333333333,0.9603999999999999
non-seasonal,2025-12-29,5.0,0.19,True,MISSED OUTBREAK,10.833333333333334,12.95505049520585,0.3333333333333333,0.6561000000000001
seasonal,2025-12-29,5.0,0.08,True,MISSED OUTBREAK,12.333333333333334,14.583095236151571,0.16666666666666666,0.8464
non-seasonal,2026-01-05,5.0,0.31,True,MISSED OUTBREAK,13.75,14.979152178945242,0.16666666666666666,0.4760999999999999
seasonal,2026-01-05,5.0,0.1,True,MISSED OUTBREAK,15.5,16.527754435090895,0.0,0.81
non-seasonal,2026-01-12,23.0,1.0,True,DETECTED OUTBREAK,7.416666666666667,8.710625695092173,0.5,0.0
seasonal,2026-01-12,23.0,0.77,True,DETECTED OUTBREAK,9.083333333333334,11.563231958813823,0.3333333333333333,0.05289999999999999
non-seasonal,2026-01-19,17.0,1.0,True,DETECTED OUTBREAK,7.083333333333333,8.388980867781259,0.5,0.0
seasonal,2026-01-19,17.0,0.94,True,DETECTED OUTBREAK,7.416666666666667,10.56921630648807,0.5,0.0036000000000000064
non-seasonal,2026-01-26,22.0,1.0,True,DETECTED OUTBREAK,12.25,13.88794441233115,0.16666666666666666,0.0
seasonal,2026-01-26,22.0,1.0,True,DETECTED OUTBREAK,9.166666666666666,10.25508004194344,0.5,0.0
