c_sh,cutoff_id,cutoff_index,training_end_date,forecast_week,date,reference_cases,history_conditioning_enabled,history_weeks,recent_transmission_multiplier,history_conditioning_objective,history_conditioning_optimizer_success,anchor_exposed_per_case,anchor_infectious_per_case,origin_exposed_total,origin_infectious_total,origin_sick_total,observed_cases,fitted_expected_cases,p10_cases,median_cases,p90_cases,training_windows,global_fit_training_windows,global_parameters_refitted_each_cutoff,training_objective,outbreak_threshold,observed_six_week_event,predicted_six_week_event_probability,event_brier_score,persistence_event_probability,persistence_event_brier_score
0.1,4,96,2025-10-27,1,2025-11-03,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,6.0,3.759898368728976,1.0,3.0,6.1000000000000085,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.1,4,96,2025-10-27,2,2025-11-10,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,7.0,3.6653734734628465,1.0,3.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.1,4,96,2025-10-27,3,2025-11-17,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,8.0,3.6367003005042178,1.0,4.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.1,4,96,2025-10-27,4,2025-11-24,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,12.0,3.6524934382786305,1.0,3.0,7.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.1,4,96,2025-10-27,5,2025-12-01,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,12.0,3.700383460561321,1.0,3.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.1,4,96,2025-10-27,6,2025-12-08,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,8.0,3.772494642771521,1.0,3.0,7.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.1,5,108,2026-01-19,1,2026-01-26,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,22.0,11.440492426647921,7.0,11.0,15.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.1,5,108,2026-01-19,2,2026-02-02,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,14.0,10.671851587140283,7.0,11.0,14.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.1,5,108,2026-01-19,3,2026-02-09,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,33.0,10.148407346982298,5.9,9.5,13.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.1,5,108,2026-01-19,4,2026-02-16,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,29.0,9.78880721667699,6.0,10.0,13.100000000000009,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
