block_id,start_date,end_date,observed_total,predicted_total,mae,mean_squared_error,rmse,normalised_rmse,log_rmse,poisson_nll,objective,prediction_summary,objective_metric,window_weight
23,2024-06-17,2024-07-22,319.0,187.21977313262516,21.96337114456247,586.9384497745549,24.226812621031165,0.45567672641437923,0.5553121639280234,10.561118693009067,10.561118693009067,mean,poisson_nll,0.9999999999999999
24,2024-06-24,2024-07-29,318.0,284.79325031031027,9.803150814800524,133.14076446281575,11.538663894178379,0.2177106395127996,0.21427415763743266,4.195467751665431,4.195467751665431,mean,poisson_nll,0.9999999999999999
25,2024-07-01,2024-08-05,303.0,307.75025412924225,5.587341785338756,40.578929054773795,6.370159264474774,0.12614176761336185,0.12522239589043385,3.2691398925513777,3.2691398925513777,mean,poisson_nll,0.9999999999999999
26,2024-07-08,2024-08-12,285.0,273.31453964129423,8.127204073736772,90.01161885134016,9.487445327976344,0.19973569111529144,0.18873767128886526,3.740591663620821,3.740591663620821,mean,poisson_nll,0.9999999999999999
27,2024-07-15,2024-08-19,241.0,376.6179256595051,22.602987609917506,634.4121534795739,25.187539647205995,0.6270756758640496,0.5523013110817702,8.926256255966338,8.926256255966338,mean,poisson_nll,0.9999999999999999
28,2024-07-22,2024-08-26,193.0,376.6179256595051,30.602987609917506,942.5927204855071,30.701672926495505,0.9544561531553005,0.735246930357084,12.406379579438076,12.406379579438076,mean,poisson_nll,0.9999999999999999
29,2024-07-29,2024-09-02,169.0,233.13795625848238,13.133779409566818,184.758274846613,13.592581610813047,0.4825768619223567,0.4767858087622612,5.543926370923075,5.543926370923075,mean,poisson_nll,0.9999999999999999
30,2024-08-05,2024-09-09,136.0,279.05391237275876,23.842318728793128,608.7653542767713,24.673170738208157,1.0885222384503597,0.7797460733303953,10.859353825621511,10.859353825621511,mean,poisson_nll,0.9999999999999999
31,2024-08-12,2024-09-16,109.0,221.65861926721192,18.776436544535326,375.485212856702,19.37744082320217,1.0666481187083765,0.7437095903715026,8.744611685420587,8.744611685420587,mean,poisson_nll,0.9999999999999999
32,2024-08-19,2024-09-23,86.0,169.99988026794574,13.999980044657617,205.30566159556915,14.328491253288643,0.9996621804619982,0.7511151651204435,6.93565771743228,6.93565771743228,mean,poisson_nll,0.9999999999999999
33,2024-08-26,2024-09-30,72.0,124.07863467267408,8.679772445445684,81.06802359359665,9.003778295448898,0.7503148579540747,0.6267678092983366,4.7125813087053965,4.7125813087053965,mean,poisson_nll,0.9999999999999999
34,2024-09-02,2024-10-07,61.0,101.11717657908187,6.686196096513647,52.463680658148334,7.243181666791765,0.7124440983729604,0.6019367809734187,4.095826199555265,4.095826199555265,mean,poisson_nll,0.9999999999999999
35,2024-09-09,2024-10-14,50.0,95.37672504143072,7.562787506905119,66.20343612342262,8.136549399064853,0.976385927887782,0.7105021371376546,4.646019887858528,4.646019887858528,mean,poisson_nll,0.9999999999999999
36,2024-09-16,2024-10-21,40.0,89.636238697292,8.272706449548668,73.80625541295377,8.591056711077734,1.28865850666166,0.7855012121165242,5.003029762109782,5.003029762109782,mean,poisson_nll,0.9999999999999999
37,2024-09-23,2024-10-28,35.0,66.67394524800213,5.27899087466702,28.828142964069954,5.369184571615131,0.9204316408483081,0.5785106254041449,3.3593877620845705,3.3593877620845705,mean,poisson_nll,0.9999999999999999
38,2024-09-30,2024-11-04,34.0,37.970295243253936,0.9954652570749983,1.273504282917684,1.1284964700510516,0.19914643589136202,0.16093977519620173,1.8990418218903138,1.8990418218903138,mean,poisson_nll,0.9999999999999999
39,2024-10-07,2024-11-11,28.0,43.711094863467714,2.6185158105779527,9.12324365349425,3.020470766866359,0.6472437357570767,0.6005493720550436,2.5433352392564195,2.5433352392564195,mean,poisson_nll,0.9999999999999999
40,2024-10-14,2024-11-18,26.0,37.970295243253936,1.9950492072089896,5.861542394281469,2.421062245024169,0.5587066719286543,0.544427133329461,2.290169028266612,2.290169028266612,mean,poisson_nll,0.9999999999999999
41,2024-10-21,2024-11-25,26.0,32.22946081262174,1.0934834200806325,3.3495103580462287,1.8301667568957285,0.422346174668245,0.47684120864084656,2.079628919133877,2.079628919133877,mean,poisson_nll,0.9999999999999999
42,2024-10-28,2024-12-02,24.0,32.22946081262174,1.6575014481079149,4.918677291555697,2.2178091197295804,0.554452279932395,0.5345077983548769,2.197249228781329,2.197249228781329,mean,poisson_nll,0.9999999999999999
43,2024-11-04,2024-12-09,22.0,37.970295243253936,2.6617158738756563,10.357346437570591,3.2182831506209317,0.8777135865329813,0.6690962546402855,2.608136452625858,2.608136452625858,mean,poisson_nll,0.9999999999999999
44,2024-11-11,2024-12-16,19.0,32.22946081262174,2.2049101354369567,6.159864089371445,2.4819073490707595,0.7837602154960293,0.5901424175155929,2.264518240427107,2.264518240427107,mean,poisson_nll,0.9999999999999999
45,2024-11-18,2024-12-23,22.0,9.26577497804723,2.122370836992129,5.589308945066881,2.364171936443473,0.6447741644845835,0.6467886098662237,2.8486385211896272,2.8486385211896272,mean,poisson_nll,0.9999999999999999
46,2024-11-25,2024-12-30,22.0,26.48859157117816,1.0390297675498321,1.8430294707174957,1.357582215085884,0.3702496950234229,0.3033945913327262,1.8128985244411246,1.8128985244411246,mean,poisson_nll,0.9999999999999999
47,2024-12-02,2025-01-06,19.0,32.22946081262174,2.2049101354369567,5.681426292712021,2.383574268344081,0.7527076636876044,0.49974494147395737,2.159700909992122,2.159700909992122,mean,poisson_nll,0.9999999999999999
48,2024-12-09,2025-01-13,21.0,20.747687518529958,1.1140836861140972,1.5485329292247052,1.2444006305144277,0.35554303728983644,0.2986200054564708,1.7756709549524168,1.7756709549524168,mean,poisson_nll,0.9999999999999999
49,2024-12-16,2025-01-20,21.0,26.48859157117816,1.1485105059041538,1.9942622941252648,1.4121835199878465,0.40163017540938756,0.3361204435912304,1.8239183660705174,1.8239183660705174,mean,poisson_nll,1.0333333333333332
50,2024-12-23,2025-01-27,21.0,15.00674865428404,1.3294191371574948,2.218292536762891,1.489393345212369,0.4376726058299506,0.35115054143680285,1.9006893749303448,1.9006893749303448,mean,poisson_nll,1.1166666666666667
51,2024-12-30,2025-02-03,22.0,26.48859157117816,1.177602910509588,2.390807052671816,1.546223480830574,0.41340002786095204,0.3613747641823505,1.891377432451333,1.891377432451333,mean,poisson_nll,1.2833333333333332
52,2025-01-06,2025-02-10,21.0,26.48859157117816,1.1753039216824026,1.8935327774510957,1.3760569673712988,0.39490392258880475,0.32604410168713444,1.8053677791866265,1.8053677791866265,mean,poisson_nll,1.6166666666666667
53,2025-01-13,2025-02-17,24.0,15.878063380120668,1.6226185312075752,3.410341009436089,1.8467108624351807,0.4392661760161352,0.3950994053363979,2.150757456295498,2.150757456295498,mean,poisson_nll,2.45
